iter	Logloss
0	0.6854077621
1	0.6762710917
2	0.6685511716
3	0.6607861749
4	0.6530834436
5	0.6466396975
6	0.6382480641
7	0.6315298324
8	0.6242306902
9	0.6184202634
10	0.6122366688
11	0.6084124824
12	0.6030712989
13	0.5968220141
14	0.590702684
15	0.5851073589
16	0.579008237
17	0.5734338283
18	0.5691099545
19	0.5645679815
20	0.5608045356
21	0.5554904877
22	0.5517643883
23	0.5477778057
24	0.5446544013
25	0.5405936185
26	0.5375618287
27	0.5335158025
28	0.5304607986
29	0.5260164833
30	0.5229623358
31	0.5196702802
32	0.5165461424
33	0.5148364577
34	0.5127505
35	0.5103054146
36	0.5075195673
37	0.5057843251
38	0.50352904
39	0.5017943022
40	0.4990617697
41	0.4964011861
42	0.4942110978
43	0.4912219455
44	0.4892241518
45	0.4868108111
46	0.4847834966
47	0.4822455974
48	0.4804236046
49	0.4788996709
50	0.4768459318
51	0.4754017633
52	0.4726160812
53	0.4710365296
54	0.4695996207
55	0.4671653911
56	0.4665904726
57	0.4650463732
58	0.463575234
59	0.4624207416
60	0.4611816543
61	0.4600015276
62	0.4582374576
63	0.4563970251
64	0.455093623
65	0.4537713768
66	0.4527594688
67	0.4513795197
68	0.4505906171
69	0.4485951284
70	0.4462171214
71	0.4447575004
72	0.442880684
73	0.4405377534
74	0.4397358308
75	0.4383596913
76	0.4379842256
77	0.4365179061
78	0.4355951577
79	0.4346986842
80	0.4338520321
81	0.4327988579
82	0.4320815128
83	0.4311181531
84	0.4298091713
85	0.4286635452
86	0.4279090876
87	0.4271231188
88	0.4263928093
89	0.4259138432
90	0.4249994662
91	0.4234081791
92	0.4220399723
93	0.4201913552
94	0.4190664237
95	0.4180550032
96	0.4171595308
97	0.4163326453
98	0.4150752397
99	0.4143002913
100	0.4132290159
101	0.412110506
102	0.4117268959
103	0.4105553347
104	0.4094560251
105	0.4086653529
106	0.4076680427
107	0.4069385062
108	0.4061193407
109	0.405257693
110	0.4044314751
111	0.4034216484
112	0.402914658
113	0.4023713103
114	0.4016632515
115	0.4010492751
116	0.4001254577
117	0.3996457687
118	0.3991616662
119	0.3985889422
120	0.3974936897
121	0.3965906353
122	0.3955762411
123	0.3946448844
124	0.3933678032
125	0.3926189762
126	0.3920595638
127	0.3912660544
128	0.390624987
129	0.3895850261
130	0.3888969924
131	0.3879984413
132	0.3876337244
133	0.3868708489
134	0.3862529623
135	0.3853668483
136	0.3842624093
137	0.3832937714
138	0.382467462
139	0.3816374479
140	0.3813481799
141	0.3798371982
142	0.3792070722
143	0.3786585882
144	0.3780477814
145	0.3775726871
146	0.3771044372
147	0.3764932564
148	0.3761772972
149	0.3752487264
150	0.3748467258
151	0.3740224848
152	0.373247735
153	0.3727330889
154	0.3718035623
155	0.3708755695
156	0.3705215169
157	0.369956867
158	0.3695483292
159	0.3692926278
160	0.3683810857
161	0.3679839961
162	0.367468654
163	0.367043312
164	0.3662527286
165	0.3655315762
166	0.3651619273
167	0.3649452318
168	0.3641457732
169	0.363863942
170	0.3624142654
171	0.3620040259
172	0.3616988324
173	0.3615109566
174	0.3609055476
175	0.3605874462
176	0.3600728082
177	0.3596254721
178	0.3589716243
179	0.35852263
180	0.3582826493
181	0.3580344666
182	0.3575387481
183	0.3572240662
184	0.3567654526
185	0.3564518802
186	0.3559734464
187	0.3551549821
188	0.3545578179
189	0.3542627253
190	0.3536889315
191	0.3531054183
192	0.3522965041
193	0.3516230003
194	0.3511238991
195	0.3508471991
196	0.3501753877
197	0.3495501839
198	0.3491394685
199	0.3485548165
200	0.3483588616
201	0.3475838957
202	0.3468286213
203	0.3465268967
204	0.3460104857
205	0.3452820876
206	0.3449928476
207	0.3444302273
208	0.3442639758
209	0.3432997735
210	0.3428557393
211	0.3422591674
212	0.3421996177
213	0.3414506926
214	0.3409327198
215	0.3405980299
216	0.3402889871
217	0.3395846429
218	0.3388542789
219	0.3385353408
220	0.338070998
221	0.3375184399
222	0.3371709372
223	0.3369533827
224	0.33637027
225	0.3353057763
226	0.3344078145
227	0.3340453293
228	0.3334112379
229	0.3330590949
230	0.3321797911
231	0.3314526274
232	0.3309621636
233	0.3302043411
234	0.3297893735
235	0.3288000179
236	0.328486733
237	0.3280962691
238	0.3278462572
239	0.3274534645
240	0.3266744338
241	0.3259705011
