iter	Passed	Remaining
0	4	4165
1	9	4635
2	14	4749
3	20	5104
4	26	5218
5	31	5206
6	37	5268
7	52	6506
8	57	6319
9	62	6212
10	67	6086
11	73	6011
12	78	5954
13	83	5909
14	89	5866
15	94	5836
16	99	5763
17	105	5738
18	110	5696
19	115	5660
20	120	5637
21	126	5617
22	131	5575
23	137	5571
24	142	5572
25	147	5537
26	153	5516
27	159	5523
28	164	5518
29	191	6177
30	206	6451
31	211	6396
32	216	6345
33	220	6255
34	225	6204
35	230	6163
36	236	6153
37	242	6130
38	248	6118
39	254	6102
40	260	6083
41	266	6072
42	271	6050
43	277	6025
44	283	6025
45	289	6009
46	296	6014
47	303	6014
48	310	6030
49	317	6032
50	323	6019
51	330	6023
52	337	6025
53	343	6023
54	350	6016
55	356	6013
56	361	5974
57	367	5966
58	374	5979
59	381	5982
60	389	6001
61	397	6009
62	403	6001
63	408	5979
64	416	5986
65	421	5962
66	426	5935
67	432	5923
68	436	5894
69	441	5863
70	447	5852
71	451	5821
72	456	5797
73	462	5784
74	466	5757
75	471	5729
76	475	5702
77	480	5679
78	484	5652
79	489	5631
80	495	5623
81	499	5597
82	504	5573
83	510	5561
84	514	5541
85	519	5521
86	525	5512
87	530	5493
88	534	5475
89	540	5465
90	545	5446
91	550	5430
92	554	5411
93	560	5398
94	564	5379
95	569	5361
96	574	5347
97	579	5330
98	583	5312
99	588	5296
100	593	5279
101	597	5261
102	601	5242
103	607	5232
104	612	5224
105	619	5223
106	625	5217
107	631	5211
108	640	5235
109	646	5226
110	650	5208
111	656	5201
112	660	5185
113	665	5170
114	670	5160
115	674	5143
116	695	5245
117	699	5231
118	706	5233
119	725	5317
120	729	5300
121	735	5292
122	740	5282
123	747	5283
124	754	5284
125	760	5274
126	765	5261
127	772	5262
128	778	5254
129	786	5261
130	791	5250
131	796	5239
132	804	5241
133	809	5229
134	816	5233
135	822	5223
136	827	5214
137	834	5214
138	840	5206
139	846	5199
140	852	5193
141	858	5184
142	865	5185
143	871	5180
144	876	5168
145	884	5174
146	890	5165
147	897	5167
148	904	5163
149	909	5154
150	915	5149
151	921	5138
152	925	5126
153	932	5122
154	937	5112
155	943	5102
156	948	5093
157	954	5085
158	958	5071
159	965	5066
160	969	5053
161	974	5039
162	979	5032
163	985	5023
164	989	5009
165	995	5003
166	1000	4992
167	1005	4981
168	1011	4973
169	1016	4963
170	1021	4951
171	1027	4948
172	1034	4944
173	1039	4934
174	1045	4927
175	1050	4916
176	1054	4904
177	1061	4904
178	1066	4893
179	1071	4881
180	1077	4876
181	1082	4864
182	1087	4853
183	1093	4848
184	1098	4837
185	1102	4824
186	1108	4820
187	1113	4809
188	1117	4797
189	1124	4792
190	1128	4781
191	1133	4769
192	1139	4764
193	1144	4754
194	1148	4742
195	1154	4734
196	1159	4728
197	1164	4716
198	1169	4708
199	1175	4701
200	1179	4689
201	1184	4677
202	1190	4675
203	1195	4666
204	1200	4656
205	1206	4650
206	1211	4642
207	1216	4631
208	1225	4637
209	1230	4629
210	1236	4625
211	1242	4617
212	1246	4604
213	1252	4599
214	1257	4591
215	1263	4584
216	1274	4597
217	1282	4598
218	1288	4595
219	1293	4585
220	1298	4577
221	1304	4571
222	1311	4568
223	1317	4564
224	1323	4558
225	1328	4549
226	1333	4542
227	1338	4533
228	1343	4524
229	1350	4519
230	1355	4511
231	1362	4508
232	1369	4506
233	1373	4497
234	1379	4490
235	1387	4492
236	1392	4484
237	1398	4477
238	1403	4470
239	1408	4461
240	1414	4455
241	1419	4445
242	1424	4436
243	1429	4427
244	1433	4419
245	1439	4410
246	1444	4402
247	1449	4395
248	1454	4387
249	1461	4385
250	1467	4377
251	1473	4372
252	1478	4366
253	1483	4357
254	1488	4347
255	1493	4340
256	1498	4332
257	1503	4324
258	1508	4315
259	1513	4307
260	1518	4298
261	1523	4290
262	1528	4282
263	1533	4274
264	1538	4267
265	1545	4263
266	1551	4258
267	1556	4251
268	1562	4244
269	1567	4237
270	1571	4228
271	1577	4222
272	1582	4215
273	1587	4206
274	1593	4200
275	1598	4194
276	1603	4185
277	1613	4190
278	1617	4181
279	1622	4171
280	1626	4162
281	1647	4195
282	1651	4184
283	1655	4174
284	1660	4165
285	1664	4154
286	1668	4145
287	1672	4135
288	1678	4128
289	1682	4120
290	1687	4111
291	1692	4103
292	1696	4094
293	1701	4086
294	1706	4079
295	1711	4070
296	1715	4061
297	1720	4054
298	1725	4045
299	1730	4037
300	1735	4029
301	1740	4022
302	1744	4013
303	1749	4005
304	1753	3996
305	1758	3988
306	1764	3982
307	1769	3975
308	1773	3966
309	1778	3958
310	1783	3950
311	1787	3942
312	1792	3934
313	1797	3927
314	1804	3923
315	1809	3917
316	1814	3909
317	1819	3902
318	1824	3894
319	1829	3886
320	1835	3881
321	1839	3873
322	1844	3866
323	1850	3861
324	1855	3853
325	1860	3846
326	1865	3839
327	1870	3832
328	1875	3824
329	1880	3818
330	1885	3811
331	1890	3803
332	1895	3796
333	1901	3791
334	1906	3783
335	1910	3776
336	1917	3772
337	1923	3766
338	1928	3760
339	1934	3754
340	1938	3746
341	1942	3738
342	1947	3730
343	1952	3722
344	1957	3715
345	1962	3709
346	1967	3702
347	1971	3694
348	1977	3688
349	1981	3680
350	1986	3673
351	1992	3667
352	1996	3660
353	2001	3652
354	2006	3645
355	2011	3638
356	2015	3629
357	2019	3621
358	2023	3612
359	2027	3605
360	2032	3597
361	2036	3589
362	2041	3582
363	2046	3575
364	2050	3567
365	2056	3562
366	2061	3555
367	2065	3547
368	2069	3539
369	2074	3532
370	2079	3525
371	2084	3518
372	2089	3512
373	2094	3505
374	2098	3498
375	2103	3490
376	2108	3483
377	2112	3476
378	2117	3469
379	2122	3462
380	2127	3456
381	2132	3449
382	2136	3442
383	2141	3435
384	2146	3429
385	2151	3422
386	2156	3415
387	2160	3407
388	2164	3400
389	2169	3393
390	2174	3386
391	2179	3380
392	2184	3373
393	2189	3366
394	2193	3360
395	2198	3352
396	2202	3345
397	2207	3338
398	2211	3331
399	2217	3325
400	2221	3319
401	2227	3312
402	2232	3306
403	2236	3299
404	2241	3293
405	2246	3287
406	2252	3281
407	2256	3274
408	2261	3268
409	2266	3261
410	2271	3254
411	2276	3249
412	2281	3243
413	2286	3236
414	2290	3229
415	2295	3222
416	2300	3215
417	2305	3209
418	2310	3203
419	2315	3197
420	2320	3191
421	2325	3185
422	2331	3179
423	2336	3174
424	2341	3168
425	2346	3161
426	2351	3156
427	2356	3149
428	2361	3143
429	2366	3137
430	2371	3130
431	2376	3124
432	2381	3118
433	2386	3112
434	2390	3105
435	2395	3099
436	2400	3092
437	2405	3086
438	2410	3080
439	2416	3075
440	2421	3069
441	2426	3063
442	2431	3056
443	2436	3050
444	2441	3044
445	2446	3038
446	2451	3033
447	2457	3027
448	2462	3021
449	2467	3015
450	2472	3009
451	2477	3003
452	2482	2997
453	2487	2991
454	2505	3001
455	2510	2994
456	2515	2988
457	2520	2982
458	2524	2975
459	2529	2969
460	2534	2963
461	2538	2956
462	2543	2950
463	2549	2945
464	2554	2939
465	2559	2933
466	2565	2927
467	2570	2921
468	2574	2915
469	2579	2909
470	2585	2903
471	2588	2895
472	2593	2889
473	2599	2885
474	2604	2879
475	2609	2873
476	2615	2867
477	2620	2861
478	2625	2855
479	2630	2849
480	2634	2842
481	2638	2835
482	2643	2830
483	2648	2823
484	2652	2816
485	2657	2810
486	2663	2805
487	2668	2799
488	2672	2792
489	2677	2786
490	2681	2780
491	2686	2774
492	2691	2767
493	2697	2762
494	2702	2757
495	2707	2751
496	2712	2745
497	2717	2738
498	2722	2732
499	2727	2727
500	2731	2720
501	2735	2714
502	2740	2707
503	2745	2701
504	2749	2695
505	2754	2689
506	2759	2683
507	2764	2677
508	2782	2683
509	2786	2677
510	2791	2671
511	2795	2664
512	2799	2658
513	2804	2651
514	2808	2645
515	2813	2638
516	2817	2632
517	2822	2626
518	2828	2621
519	2833	2615
520	2837	2608
521	2842	2602
522	2847	2597
523	2851	2590
524	2856	2584
525	2861	2578
526	2865	2571
527	2869	2565
528	2874	2559
529	2879	2553
530	2884	2547
531	2889	2541
532	2893	2535
533	2898	2529
534	2903	2523
535	2908	2517
536	2912	2511
537	2917	2505
538	2922	2499
539	2926	2493
540	2931	2487
541	2935	2480
542	2940	2474
543	2944	2468
544	2949	2462
545	2954	2456
546	2959	2450
547	2963	2444
548	2968	2438
549	2973	2432
550	2977	2426
551	2982	2420
552	2986	2414
553	2991	2408
554	2996	2402
555	3001	2396
556	3005	2390
557	3009	2384
558	3014	2378
559	3019	2372
560	3023	2366
561	3028	2360
562	3033	2354
563	3038	2348
564	3042	2342
565	3047	2336
566	3052	2330
567	3056	2324
568	3060	2318
569	3066	2313
570	3070	2307
571	3075	2300
572	3080	2295
573	3085	2289
574	3089	2283
575	3094	2277
576	3099	2272
577	3103	2265
578	3107	2259
579	3112	2254
580	3117	2248
581	3121	2242
582	3127	2237
583	3132	2231
584	3137	2225
585	3141	2219
586	3146	2214
587	3151	2208
588	3156	2202
589	3160	2196
590	3165	2190
591	3170	2184
592	3174	2178
593	3179	2173
594	3184	2167
595	3189	2161
596	3194	2156
597	3199	2150
598	3204	2144
599	3208	2139
600	3213	2133
601	3217	2127
602	3222	2121
603	3226	2115
604	3231	2109
605	3236	2104
606	3241	2098
607	3246	2092
608	3250	2087
609	3255	2081
610	3260	2075
611	3264	2069
612	3269	2064
613	3274	2058
614	3278	2052
615	3282	2046
616	3287	2040
617	3291	2034
618	3295	2028
619	3300	2022
620	3304	2016
621	3308	2010
622	3313	2004
623	3318	1999
624	3322	1993
625	3326	1987
626	3331	1981
627	3336	1976
628	3340	1970
629	3344	1964
630	3350	1959
631	3354	1953
632	3358	1947
633	3363	1941
634	3369	1936
